x_0,x_1,y
0.31559549061333625,7.262027876391004,-1.5026076
9.770142595998943,4.887824176847179,2.9697027
1.985286903854141,8.600498796962171,0.8934698
1.1032229687907813,1.203647617802297,0.12798989
5.769716547767951,9.099410533923688,2.2834635
0.7998595794069663,8.464412084833487,-0.29095876
6.0245326316359495,7.08276825657236,2.33977
8.506266448136131,8.178877421287492,2.789217
0.47898021467424834,5.43815506842666,-0.95904726
7.998686045285441,6.751624290976669,2.709056
3.9447744098211865,5.605980707077789,1.7880665
1.5949063383120998,3.5542853050794934,0.60820556
1.7609648026745905,5.688607973611775,0.737252
9.187645436942262,2.5746533253192574,2.8896127
1.1060575194066447,4.402791708407853,0.13133314
8.66782787115657,2.8077540726024317,2.8137307
5.442446209836146,1.22887789461389,2.2073824
0.3905617881643908,3.218618563899062,-1.2249308
4.644761457173383,8.519872181847706,2.0008903
8.174495144763007,3.8108077064230574,2.737383
