x_0,x_1,y
4.466579865809011,7.259034642648929,52.693584
2.596128095935958,0.4336330016822698,0.18803757
1.5667189458348096,8.025719052950283,64.41216
2.8744559739058504,5.327033070517114,28.377281
3.279195513714498,3.917085308147726,15.343557
4.238747434344646,5.375194262680703,28.892714
6.554071232145865,6.12451448457325,37.509678
2.7316305608022704,1.4950630987379698,2.2352138
0.5097676346867597,4.17415395326445,17.423561
3.7327861157271958,3.355862101881838,11.26181
8.556296161590758,3.504089448180384,12.278643
4.983515108518838,0.9133493840730822,0.8342071
9.647837577454098,1.598434880002304,2.554994
5.036215310887318,1.6183206758622137,2.6189618
2.758988169218478,3.732247432216478,13.929671
1.9331399724521459,8.944915448747915,80.01151
6.945244967855764,2.0602737192094267,4.2447276
5.363812857774364,4.161925076748045,17.32162
6.0399892899544145,3.116094152991379,9.710043
7.551267893341311,7.87383312551338,61.99725
